Statistical profiling result from prof/fs-extra.isolate.log, (304 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.3%    0.3%  T _CRYPTO_atomic_add

 [Summary]:
   ticks  total  nonlib   name
     69   22.7%   22.9%  JavaScript
    227   74.7%   75.4%  C++
     10    3.3%    3.3%  GC
      3    1.0%          Shared libraries
      5    1.6%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    147   73.9%   48.4%  T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     19    9.5%    6.3%  T v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      9    4.5%    3.0%  T v8::internal::Runtime_CompileOptimized_Concurrent(int, v8::internal::Object**, v8::internal::Isolate*)
      7    3.5%    2.3%  T v8::internal::Runtime_CompileForOnStackReplacement(int, v8::internal::Object**, v8::internal::Isolate*)
      3    1.5%    1.0%  T v8::internal::Runtime_InterpreterDeserializeLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      2    1.0%    0.7%  T v8::internal::Runtime_KeyedStoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      2    1.0%    0.7%  T v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      2    1.0%    0.7%  T v8::internal::Runtime_CreateListFromArrayLike(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.5%    0.3%  t v8::internal::ConsString* v8::internal::String::VisitFlat<v8::Utf8LengthHelper::Visitor>(v8::Utf8LengthHelper::Visitor*, v8::internal::String*, int)
      1    0.5%    0.3%  t __malloc_initialize
      1    0.5%    0.3%  T v8::internal::Runtime_StringToNumber(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.5%    0.3%  T v8::internal::Runtime_StringIndexOfUnchecked(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.5%    0.3%  T v8::internal::Runtime_ObjectKeys(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.5%    0.3%  T v8::internal::Runtime_CompleteInobjectSlackTrackingForMap(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.5%    0.3%  T v8::internal::Builtin_JsonParse(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.5%    0.3%  T __simple_dprintf

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
     86   28.3%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     86  100.0%    T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     85   98.8%      LazyCompile: ~openSync fs.js:433:18
     85  100.0%        LazyCompile: ~writeFileSync fs.js:1165:23
     85  100.0%          LazyCompile: ~runSync /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:5:17
     85  100.0%            Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:1:11
      1    1.2%      LazyCompile: ~open fs.js:411:14
      1  100.0%        LazyCompile: ~go$open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:235:22
      1  100.0%          LazyCompile: *open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:229:17
      1  100.0%            LazyCompile: ~WriteStream$open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:206:29

     28    9.2%  T node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     28  100.0%    T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     23   82.1%      LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
     23  100.0%        LazyCompile: ~NativeModule.require internal/bootstrap/loaders.js:129:34
      4   17.4%          Script: ~<anonymous> fs.js:1:11
      4  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      2    8.7%          Script: ~<anonymous> util.js:1:11
      2  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      2    8.7%          Script: ~<anonymous> internal/process.js:1:11
      2  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      2    8.7%          LazyCompile: ~setupGlobalConsole internal/bootstrap/node.js:356:30
      2  100.0%            LazyCompile: ~startup internal/bootstrap/node.js:29:19
      1    4.3%          Script: ~<anonymous> stream.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          Script: ~<anonymous> path.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          Script: ~<anonymous> internal/worker.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          Script: ~<anonymous> internal/modules/cjs/loader.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          Script: ~<anonymous> internal/encoding.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          Script: ~<anonymous> internal/async_hooks.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          Script: ~<anonymous> buffer.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          Script: ~<anonymous> assert.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          Script: ~<anonymous> _stream_readable.js:1:11
      1  100.0%            LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:222:44
      1    4.3%          LazyCompile: ~setupProcessFatal internal/bootstrap/node.js:424:29
      1  100.0%            LazyCompile: ~startup internal/bootstrap/node.js:29:19
      1    4.3%          LazyCompile: ~setupGlobalVariables internal/bootstrap/node.js:297:32
      1  100.0%            LazyCompile: ~startup internal/bootstrap/node.js:29:19
      1    4.3%          LazyCompile: ~setupGlobalTimeouts internal/bootstrap/node.js:346:31
      1  100.0%            LazyCompile: ~startup internal/bootstrap/node.js:29:19
      1    4.3%          LazyCompile: ~createWritableStdioStream internal/process/stdio.js:163:35
      1  100.0%            LazyCompile: ~getStdout internal/process/stdio.js:21:21
      5   17.9%      LazyCompile: ~Script vm.js:38:14
      5  100.0%        LazyCompile: ~createScript vm.js:245:22
      5  100.0%          LazyCompile: ~runInThisContext vm.js:294:26
      5  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:663:37

     10    3.3%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
     10  100.0%    T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
      9   90.0%      LazyCompile: ~closeSync fs.js:403:19
      9  100.0%        LazyCompile: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:48:59
      9  100.0%          LazyCompile: ~writeFileSync fs.js:1165:23
      9  100.0%            LazyCompile: ~runSync /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:5:17
      1   10.0%      LazyCompile: ~close fs.js:396:15
      1  100.0%        LazyCompile: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:37:51
      1  100.0%          LazyCompile: ~closeFsStream internal/fs/streams.js:179:23
      1  100.0%            LazyCompile: ~ReadStream._destroy internal/fs/streams.js:168:41

      6    2.0%  T _mprotect
      2   33.3%    T v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1   50.0%      LazyCompile: ~patch /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/polyfills.js:26:16
      1  100.0%        LazyCompile: ~patch /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:56:16
      1  100.0%          Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:1:11
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:663:37
      1   50.0%      LazyCompile: ~api.forEach.method /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/fs-extra/lib/fs/index.js:58:13
      1  100.0%        Builtin: ArrayForEach
      1  100.0%          Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/fs-extra/lib/fs/index.js:1:11
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:663:37

      6    2.0%  Builtin: InterpreterEntryTrampoline
      1   16.7%    LazyCompile: ~validatePath internal/fs/utils.js:326:22
      1  100.0%      LazyCompile: ~openSync fs.js:433:18
      1  100.0%        LazyCompile: ~writeFileSync fs.js:1165:23
      1  100.0%          LazyCompile: ~runSync /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:5:17
      1  100.0%            Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:1:11
      1   16.7%    LazyCompile: ~openSync fs.js:433:18
      1  100.0%      LazyCompile: ~writeFileSync fs.js:1165:23
      1  100.0%        LazyCompile: ~runSync /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:5:17
      1  100.0%          Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:1:11
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:663:37
      1   16.7%    LazyCompile: ~emitBeforeScript internal/async_hooks.js:340:26
      1  100.0%      LazyCompile: ~_tickCallback internal/process/next_tick.js:41:25
      1   16.7%    LazyCompile: ~destroy internal/streams/destroy.js:4:17
      1  100.0%      LazyCompile: ~WriteStream._final internal/fs/streams.js:236:40
      1  100.0%        LazyCompile: ~callFinal _stream_writable.js:611:19
      1  100.0%          LazyCompile: ~_tickCallback internal/process/next_tick.js:41:25
      1   16.7%    LazyCompile: ~WriteStream._write internal/fs/streams.js:261:40
      1  100.0%      LazyCompile: ~<anonymous> internal/fs/streams.js:268:38
      1  100.0%        LazyCompile: ~onceWrapper events.js:269:21
      1  100.0%          LazyCompile: ~emit events.js:140:44
      1  100.0%            LazyCompile: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:208:53
      1   16.7%    LazyCompile: *Writable.write _stream_writable.js:268:36
      1  100.0%      LazyCompile: ~runAsync /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:12:18
      1  100.0%        Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:1:11
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:663:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:711:37

      5    1.6%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObjectReference**, v8::internal::HeapObject*)

      5    1.6%  UNKNOWN
      1   20.0%    T v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      LazyCompile: ~WriteStream._write internal/fs/streams.js:261:40
      1  100.0%        LazyCompile: ~<anonymous> internal/fs/streams.js:268:38
      1  100.0%          LazyCompile: ~onceWrapper events.js:269:21
      1  100.0%            LazyCompile: ~emit events.js:140:44

      4    1.3%  t node::fs::WriteBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
      4  100.0%    T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
      3   75.0%      LazyCompile: ~writeSync fs.js:551:19
      3  100.0%        LazyCompile: ~writeFileSync fs.js:1165:23
      3  100.0%          LazyCompile: ~runSync /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:5:17
      3  100.0%            Script: ~<anonymous> /Users/danvilla/Projects/collinear/nodejs-profiling/src/fs-extra.js:1:11
      1   25.0%      LazyCompile: ~write fs.js:506:15
      1  100.0%        LazyCompile: ~WriteStream._write internal/fs/streams.js:261:40
      1  100.0%          LazyCompile: ~<anonymous> internal/fs/streams.js:268:38
      1  100.0%            LazyCompile: ~onceWrapper events.js:269:21

      4    1.3%  T node::fs::NewFSReqWrap(v8::FunctionCallbackInfo<v8::Value> const&)
      4  100.0%    T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
      2   50.0%      LazyCompile: ~write fs.js:506:15
      2  100.0%        LazyCompile: ~WriteStream._write internal/fs/streams.js:261:40
      2  100.0%          LazyCompile: ~<anonymous> internal/fs/streams.js:268:38
      2  100.0%            LazyCompile: ~onceWrapper events.js:269:21
      2   50.0%      LazyCompile: ~open fs.js:411:14
      2  100.0%        LazyCompile: ~go$open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:235:22
      1   50.0%          LazyCompile: ~open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:229:17
      1  100.0%            LazyCompile: ~WriteStream$open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:206:29
      1   50.0%          LazyCompile: *open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:229:17
      1  100.0%            LazyCompile: ~WriteStream$open /Users/danvilla/Projects/collinear/nodejs-profiling/node_modules/graceful-fs/graceful-fs.js:206:29

      4    1.3%  Builtin: KeyedLoadIC
      2   50.0%    LazyCompile: ~pushAsyncIds internal/async_hooks.js:389:22
      2  100.0%      LazyCompile: ~emitBeforeScript internal/async_hooks.js:340:26
      2  100.0%        LazyCompile: ~_tickCallback internal/process/next_tick.js:41:25
      1   25.0%    LazyCompile: ~validateAsyncId internal/async_hooks.js:117:25
